[Untitled with Two Circles],,,David Mack,David Mack,David Mack,,,,,,minicomic
10 Most Incestuous Royals,,,Jessica Campbell,Jessica Campbell,Jessica Campbell,destroyed by cat piss,,,,,minicomic
100% Unofficial Simpsons Comix,,,Jack Teagle,Jack Teagle,Jack Teagle,,,,,,minicomic
11043,,,Micah Berkoff,Micah Berkoff,Micah Berkoff,,,,,,minicomic
"1963, Book 4: Tales from Beyond",4,Image,,Alan Moore,"Steve Bissette
Jim Valentino",,,Yes,No,,comic
1985: Black Hole Repo,1,Heavy Metal,,"Michael Moreci
Seth Sherwood
",John Bivens,,,Yes,No,,comic
1994 Nissan Sentra,,,Jordan Jeffries,Jordan Jeffries,Jordan Jeffries,,,,,,minicomic
2001: A Space Odyssey,2,Marvel,,Jack Kirby,Jack Kirby,,,Yes,Yes,,comic
2012,,,Sam Gaskin,Sam Gaskin,Sam Gaskin,,,,,,minicomic
2099 Unlimited,5,Marvel,,Gerard Jones,JJ Birch,,,No,,,comic
A Brief History of Tank Girl,,,Jamie Hewlett,"Alan Martin
Jamie Hewlett
Brett Parson
Warwick Johnson-Cadwell
Jonathan Edwards","Alan Martin
Jamie Hewlett
Brett Parson
Warwick Johnson-Cadwell
Jonathan Edwards",FCBD 2018 ,,,,,minicomic
A City of Whiskey & Fire,,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
A Fan Comics About Community,,,David Yoder,David Yoder,David Yoder,,,,,,minicomic
A Goth,,,Patrick Crotty,Patrick Crotty,Patrick Crotty,,,,,,minicomic
A Guide to Life,,,Corinne Mucha,Corinne Mucha,Corinne Mucha,,,,,,minicomic
A Pantomime Horse,1,,Ben Passmore,Ben Passmore,Ben Passmore,,,,,,minicomic
A Pantomime Horse,2,,Ben Passmore,Ben Passmore,Ben Passmore,,,,,,minicomic
A Profound State of Unconsciousness,,,Erik Heumiller,Erik Heumiller,Erik Heumiller,,,,,,minicomic
A Round Town,,,David Mack,David Mack,David Mack,,,,,,minicomic
A1,1,Atomeka,,,,"black and white interiors
anthology",,No,,,trade
A1,2,Atomeka,,,,"black and white interiors
anthology",,No,,,trade
A1,3,Atomeka,,,,"black and white interiors
anthology",,No,,,trade
A1,4,Atomeka,,,,"black and white interiors
anthology",,No,,,trade
Ablatio Penis,,,Will Dinski,Will Dinski,Will Dinski,,,,,,minicomic
Abominable,,,Lena Chandhok,Lena Chandhok,Lena Chandhok,,,,,,minicomic
Absent Friends,,Slave Labor Graphics,Paul Grist,,Paul Grist,,,,,,minicomic
Action Comics,1,DC,,,,Millennium reprint,,Yes,Yes,,comic
Action Comics,614,DC,Mike Mignola,Peter David,Tod Smith,Green Lantern cover,1988,No,Yes,,comic
Action Comics,616,DC,Alex Toth,,,,,Yes,Yes,,comic
Action Comics Annual,6,DC,Mike Mignola,John Byrne,John Burne,Elseworlds,1994,Yes,Yes,,comic
Adventures of Queen Christine,6,,Amelia Onorato,Amelia Onorato,Amelia Onorato,,,,,,minicomic
"Adventures of Superman Annual, The",6,DC,Mike Mignola,Karl Kesel,Brock L. Hor,Elseworlds,1994,Yes,Yes,,comic
Agent 73,,,Kate Skelly,Kate Skelly,Kate Skelly,,,,,,minicomic
Agent 8,,,Kate Skelly,Kate Skelly,Kate Skelly,,,,,,minicomic
Agent 9,,,Kate Skelly,Kate Skelly,Kate Skelly,,,,,,minicomic
